subject,group,base,post
20171024-rata,mehp,316,408
20180619-rata,ctrl,367,335
20180720-rata,mehp,450,604
20180619-rata,ctrl,372,356
20171024-ratb,ctrl,304,314
20171013-ratb,ctrl,396,379
20171013-rata,mehp,335,322
