subject,group,base,post
20161118-rata,ctrl,130,140
20171012-rata,ctrl,90,100
20171013-ratb,ctrl,110,120
20171024-ratb,ctrl,110,90
20180619-rata,ctrl,181,176
20161215-rata,mehp,100,120
20171003-rata,mehp,90,110
20171013-rata,mehp,90,110
20171024-rata,mehp,100,110
20180522-rata,mehp,124,135
20180720-rata,mehp,133,190
20180806-rata,mehp,145,176
