subject,group,base,post
20171012-rata,ctrl,100,130
20171013-ratb,ctrl,120,130
20171024-ratb,ctrl,110,110
20180619-rata,ctrl,194,193
20171003-rata,mehp,110,130
20171013-rata,mehp,110,130
20171024-rata,mehp,120,130
20180522-rata,mehp,142,166
20180720-rata,mehp,120,153
20180806-rata,mehp,133,157
