______________________	______________________	______________________	______________________	______________________	______________________	______________________	______________________	______________________	
data file :	C:\emka\iox_2_9_5_73\data\20190517-piga.mkt
saved on :	
______________________	______________________	______________________	______________________	______________________	______________________	______________________	______________________	______________________	
printed on :	june   6, 2019, at  10: 59: 51
export mode :	to text file
print author :	no_logged_user
print com :	no available comment
ecgAuto version :	3.3.5.6 []
original sample freq (Hz) :
	 ECG	5000
	 Pig Aortic Pressure	1000
	 Cam Fire	500
	 Bloom A	500
	 Bloom B	500
	 CFR	1000
undersampling factor :		1
print sample freq (Hz) :		5000
______________________	______________________	______________________	______________________	______________________	______________________	______________________	______________________	______________________	

time ms	 ECG	
	V	


...................	...................	...................	...................	...................	...................	...................	...................	...................	...................	...................	...................	...................	
zone-start :	exp_JoVE-WBCL	time duration s :	00.00000	data duration s :	15.00000	stream section :	1
in-period :	op 1, p 1, r 1, p[r] 1	Noname #1	0.00e+00	
37.40000	 0.0841	
37.60000	 0.0838	
37.80000	 0.0838	
38.00000	 0.0835	
38.20000	 0.0832	
38.40000	 0.0832	
38.60000	 0.0832	
38.80000	 0.0830	
39.00000	 0.0832	
39.20000	 0.0829	
39.40000	 0.0826	
39.60000	 0.0826	
39.80000	 0.0822	
40.00000	 0.0822	
40.20000	 0.0824	
40.40000	 0.0822	
40.60000	 0.0822	
40.80000	 0.0824	
41.00000	 0.0827	
41.20000	 0.0829	
41.40000	 0.0832	
41.60000	 0.0835	
41.80000	 0.0844	
42.00000	 0.0848	
42.20000	 0.0854	
42.40000	 0.0856	
42.60000	 0.0864	
42.80000	 0.0867	
43.00000	 0.0871	
43.20000	 0.0880	
43.40000	 0.0880	
43.60000	 0.0883	
43.80000	 0.0890	
44.00000	 0.0894	
44.20000	 0.0900	
44.40000	 0.0906	
44.60000	 0.0911	
44.80000	 0.0917	
45.00000	 0.0917	
45.20000	 0.0925	
45.40000	 0.0928	
45.60000	 0.0931	
45.80000	 0.0935	
46.00000	 0.0938	
46.20000	 0.0943	
46.40000	 0.0946	
46.60000	 0.0948	
46.80000	 0.0951	
47.00000	 0.0949	
47.20000	 0.0955	
47.40000	 0.0955	
47.60000	 0.0954	
47.80000	 0.0958	
48.00000	 0.0957	
48.20000	 0.0955	
48.40000	 0.0955	
48.60000	 0.0955	
48.80000	 0.0955	
49.00000	 0.0949	
49.20000	 0.0945	
49.40000	 0.0938	
49.60000	 0.0935	
49.80000	 0.0931	
50.00000	 0.0923	
50.20000	 0.0914	
50.40000	 0.0908	
50.60000	 0.0902	
50.80000	 0.0894	
51.00000	 0.0891	
51.20000	 0.0887	
51.40000	 0.0880	
51.60000	 0.0880	
51.80000	 0.0876	
52.00000	 0.0868	
52.20000	 0.0868	
52.40000	 0.0864	
52.60000	 0.0859	
52.80000	 0.0850	
53.00000	 0.0851	
53.20000	 0.0848	
53.40000	 0.0845	
53.60000	 0.0844	
53.80000	 0.0841	
54.00000	 0.0835	
54.20000	 0.0830	
54.40000	 0.0827	
54.60000	 0.0827	
54.80000	 0.0826	
55.00000	 0.0826	
55.20000	 0.0822	
55.40000	 0.0822	
55.60000	 0.0818	
55.80000	 0.0812	
56.00000	 0.0813	
56.20000	 0.0807	
56.40000	 0.0809	
56.60000	 0.0809	
56.80000	 0.0809	
57.00000	 0.0810	
57.20000	 0.0810	
57.40000	 0.0812	
57.60000	 0.0818	
57.80000	 0.0821	
58.00000	 0.0822	
58.20000	 0.0829	
58.40000	 0.0832	
58.60000	 0.0838	
58.80000	 0.0842	
59.00000	 0.0848	
59.20000	 0.0853	
59.40000	 0.0853	
59.60000	 0.0861	
59.80000	 0.0865	
60.00000	 0.0870	
60.20000	 0.0874	
60.40000	 0.0876	
60.60000	 0.0882	
60.80000	 0.0887	
61.00000	 0.0891	
61.20000	 0.0893	
61.40000	 0.0905	
61.60000	 0.0908	
61.80000	 0.0914	
62.00000	 0.0916	
62.20000	 0.0922	
62.40000	 0.0925	
62.60000	 0.0928	
62.80000	 0.0929	
63.00000	 0.0935	
63.20000	 0.0935	
63.40000	 0.0940	
63.60000	 0.0946	
63.80000	 0.0945	
64.00000	 0.0946	
64.20000	 0.0946	
64.40000	 0.0948	
64.60000	 0.0948	
64.80000	 0.0949	
65.00000	 0.0948	
65.20000	 0.0946	
65.40000	 0.0946	
65.60000	 0.0943	
65.80000	 0.0937	
66.00000	 0.0931	
66.20000	 0.0928	
66.40000	 0.0923	
66.60000	 0.0916	
66.80000	 0.0912	
67.00000	 0.0905	
67.20000	 0.0896	
67.40000	 0.0890	
67.60000	 0.0887	
67.80000	 0.0880	
68.00000	 0.0874	
68.20000	 0.0870	
68.40000	 0.0867	
68.60000	 0.0864	
68.80000	 0.0861	
69.00000	 0.0854	
69.20000	 0.0851	
69.40000	 0.0847	
69.60000	 0.0844	
69.80000	 0.0841	
70.00000	 0.0838	
70.20000	 0.0835	
70.40000	 0.0832	
70.60000	 0.0829	
70.80000	 0.0829	
71.00000	 0.0822	
71.20000	 0.0816	
71.40000	 0.0821	
71.60000	 0.0818	
71.80000	 0.0818	
72.00000	 0.0816	
72.20000	 0.0812	
72.40000	 0.0810	
72.60000	 0.0807	
72.80000	 0.0806	
73.00000	 0.0800	
73.20000	 0.0806	
73.40000	 0.0807	
73.60000	 0.0807	
73.80000	 0.0807	
74.00000	 0.0810	
74.20000	 0.0810	
74.40000	 0.0816	
74.60000	 0.0821	
74.80000	 0.0821	
75.00000	 0.0827	
75.20000	 0.0832	
75.40000	 0.0835	
75.60000	 0.0841	
75.80000	 0.0844	
76.00000	 0.0851	
76.20000	 0.0854	
76.40000	 0.0861	
76.60000	 0.0867	
76.80000	 0.0873	
77.00000	 0.0873	
77.20000	 0.0879	
77.40000	 0.0885	
77.60000	 0.0891	
77.80000	 0.0894	
78.00000	 0.0900	
78.20000	 0.0906	
78.40000	 0.0909	
78.60000	 0.0914	
78.80000	 0.0917	
79.00000	 0.0923	
79.20000	 0.0928	
79.40000	 0.0931	
79.60000	 0.0929	
79.80000	 0.0931	
80.00000	 0.0935	
80.20000	 0.0935	
80.40000	 0.0935	
80.60000	 0.0937	
80.80000	 0.0938	
81.00000	 0.0943	
81.20000	 0.0940	
81.40000	 0.0938	
81.60000	 0.0938	
81.80000	 0.0940	
82.00000	 0.0938	
82.20000	 0.0935	
82.40000	 0.0931	
82.60000	 0.0923	
82.80000	 0.0922	
83.00000	 0.0922	
83.20000	 0.0914	
83.40000	 0.0908	
83.60000	 0.0897	
83.80000	 0.0888	
84.00000	 0.0887	
84.20000	 0.0879	
84.40000	 0.0871	
84.60000	 0.0867	
84.80000	 0.0864	
85.00000	 0.0856	
85.20000	 0.0853	
85.40000	 0.0850	
85.60000	 0.0844	
85.80000	 0.0838	
86.00000	 0.0835	
86.20000	 0.0832	
86.40000	 0.0830	
86.60000	 0.0826	
86.80000	 0.0822	
87.00000	 0.0821	
87.20000	 0.0818	
87.40000	 0.0810	
87.60000	 0.0806	
87.80000	 0.0807	
88.00000	 0.0806	
88.20000	 0.0803	
88.40000	 0.0801	
88.60000	 0.0798	
88.80000	 0.0795	
89.00000	 0.0797	
89.20000	 0.0792	
89.40000	 0.0790	
89.60000	 0.0790	
89.80000	 0.0789	
90.00000	 0.0792	
90.20000	 0.0792	
90.40000	 0.0795	
90.60000	 0.0792	
90.80000	 0.0797	
91.00000	 0.0801	
91.20000	 0.0803	
91.40000	 0.0807	
91.60000	 0.0813	
91.80000	 0.0822	
92.00000	 0.0829	
92.20000	 0.0833	
92.40000	 0.0841	
92.60000	 0.0842	
92.80000	 0.0847	
93.00000	 0.0850	
93.20000	 0.0856	
93.40000	 0.0864	
93.60000	 0.0862	
93.80000	 0.0867	
94.00000	 0.0873	
94.20000	 0.0876	
94.40000	 0.0882	
94.60000	 0.0887	
94.80000	 0.0893	
95.00000	 0.0897	
95.20000	 0.0903	
95.40000	 0.0908	
95.60000	 0.0909	
95.80000	 0.0914	
96.00000	 0.0914	
96.20000	 0.0917	
96.40000	 0.0922	
96.60000	 0.0922	
96.80000	 0.0925	
97.00000	 0.0928	
97.20000	 0.0926	
97.40000	 0.0929	
97.60000	 0.0929	
97.80000	 0.0932	
