subject,group,base,post
20180619,control,367,335
20180619,control,372,356
20171024,control,304,314
20171013,control,396,379
20180824,control,,368
20180725,control,,336
20180328,control,,262
20171024,MEHP,316,408
20180720,MEHP,391,552
20171013,MEHP,335,322
20180806,MEHP,493,644
20171113,MEHP,394,
20180522,MEHP,499,573
