X,Y
1,2157.044
2,2148.823
3,2148.744
4,2144.744
5,2144.498
6,2139.638
7,2138.714
8,2138.814
9,2131.598
10,2130.781
11,2127.804
12,2130.671
13,2126.888
14,2124.436
15,2114.573
16,2113.317
17,2115.501
18,2113.868
19,2112.125
20,2104.125
21,2103.391
22,2097.199
23,2100.804
24,2098.297
25,2096.564
26,2089.828
27,2087.977
28,2086.752
29,2084.732
30,2081.146
31,2082.843
32,2076.783
33,2075.121
34,2073.383
35,2070.743
36,2070.850
37,2070.546
38,2066.783
39,2070.979
40,2070.441
41,2068.549
42,2069.660
43,2064.277
44,2062.359
45,2063.711
46,2064.850
47,2064.109
48,2062.956
49,2063.682
50,2063.875
51,2067.029
52,2066.557
53,2061.580
54,2064.572
55,2064.783
56,2064.793
57,2066.762
58,2068.801
59,2068.262
60,2065.322
61,2067.641
62,2068.496
63,2065.370
64,2071.533
65,2066.800
66,2068.268
67,2069.549
68,2069.172
69,2070.781
70,2071.333
71,2071.783
72,2071.706
73,2072.104
74,2069.812
75,2071.074
76,2072.148
77,2076.529
78,2072.441
79,2073.452
80,2074.553
81,2073.988
82,2074.741
83,2074.880
84,2070.501
85,2076.489
86,2074.660
87,2075.533
88,2069.806
89,2073.467
90,2072.835
91,2079.197
92,2070.760
93,2072.716
94,2074.487
95,2073.882
96,2072.120
97,2075.050
98,2071.676
99,2072.941
100,2070.748
101,2073.728
102,2072.960
103,2072.743
104,2072.227
105,2073.436
106,2069.585
107,2072.109
108,2072.081
109,2069.684
110,2069.669
111,2071.441
112,2070.213
113,2067.443
114,2074.901
115,2073.669
116,2069.869
117,2070.744
118,2069.284
119,2071.997
120,2072.990
121,2072.324
122,2074.842
123,2074.757
124,2074.582
125,2073.431
126,2070.031
127,2077.467
128,2074.241
129,2072.630
130,2074.988
131,2073.831
132,2072.668
133,2071.288
134,2075.118
135,2068.720
136,2071.331
137,2072.814
138,2071.140
139,2071.502
140,2073.875
141,2072.863
142,2072.912
143,2072.397
144,2070.334
145,2068.473
146,2067.156
147,2066.789
148,2071.282
149,2072.774
150,2068.937
151,2070.413
152,2068.979
153,2064.597
154,2067.111
155,2065.308
156,2065.916
157,2066.194
158,2066.880
159,2065.329
160,2067.411
161,2069.615
162,2070.870
163,2066.319
164,2066.907
165,2068.301
166,2064.028
167,2066.395
168,2063.081
169,2068.678
170,2071.360
171,2070.140
172,2070.992
173,2075.742
174,2073.095
175,2073.844
176,2075.526
177,2076.875
178,2075.391
179,2075.415
180,2079.353
181,2078.742
182,2079.694
183,2078.999
184,2079.353
185,2080.335
186,2078.797
187,2080.794
188,2077.332
189,2082.730
190,2082.532
191,2081.244
192,2080.621
193,2081.219
194,2078.202
195,2082.868
196,2083.756
197,2076.448
198,2087.250
199,2077.115
200,2082.918
201,2078.957
202,2081.984
203,2077.095
204,2080.359
205,2075.931
206,2077.631
207,2076.006
208,2078.309
209,2077.187
210,2076.984
211,2069.772
212,2075.436
213,2073.599
214,2074.206
215,2073.152
216,2071.931
217,2069.574
218,2072.905
219,2073.012
220,2072.898
221,2070.337
222,2068.149
223,2068.736
224,2069.938
225,2063.613
226,2066.123
227,2063.494
228,2061.234
229,2056.891
230,2055.718
231,2054.817
232,2055.259
233,2053.473
234,2057.763
235,2047.808
236,2050.530
237,2047.417
238,2049.279
239,2045.144
240,2042.279
241,2041.559
242,2039.947
243,2037.187
244,2040.650
245,2038.223
246,2035.526
247,2034.901
248,2034.093
249,2031.068
250,2029.316
251,2032.779
252,2029.960
253,2030.250
254,2024.252
255,2023.870
256,2020.964
257,2022.409
258,2022.083
259,2019.647
260,2021.216
261,2018.839
262,2021.170
263,2016.031
264,2019.280
265,2018.057
266,2016.652
267,2019.870
268,2015.700
269,2018.938
270,2016.607
271,2016.080
272,2019.913
273,2015.471
274,2017.646
275,2019.700
276,2019.469
277,2020.329
278,2018.100
279,2020.323
280,2019.373
281,2014.956
282,2019.141
283,2022.196
284,2020.444
285,2017.091
286,2015.817
287,2020.718
288,2020.010
289,2019.153
290,2017.897
291,2022.557
292,2020.321
293,2017.942
294,2021.139
295,2023.223
296,2017.574
297,2024.970
298,2023.381
299,2022.264
300,2022.860
301,2023.933
302,2018.676
303,2025.107
304,2024.980
305,2023.317
306,2022.646
307,2024.608
308,2023.484
309,2023.388
310,2024.650
311,2022.476
312,2024.808
313,2024.567
314,2026.238
315,2022.254
316,2025.001
317,2023.440
318,2024.981
319,2025.931
320,2029.680
321,2028.279
322,2026.659
323,2030.258
324,2029.218
325,2029.718
326,2031.232
327,2034.384
328,2031.569
329,2030.816
330,2034.518
331,2034.716
332,2035.216
333,2035.784
334,2032.593
335,2036.347
336,2035.039
337,2032.300
338,2033.908
339,2031.511
340,2034.626
341,2032.220
342,2035.640
343,2032.812
344,2040.536
345,2035.808
346,2035.316
347,2037.374
348,2037.617
349,2036.513
350,2037.302
351,2037.319
352,2032.504
353,2036.589
354,2033.252
355,2036.056
356,2035.181
357,2038.503
358,2037.133
359,2033.778
360,2035.813
361,2034.536
362,2030.411
363,2028.671
364,2032.334
365,2032.181
366,2032.056
367,2030.799
368,2028.307
369,2031.598
370,2029.096
371,2031.869
372,2021.189
373,2026.069
374,2024.453
375,2029.361
376,2028.938
377,2027.635
378,2029.783
379,2028.607
380,2028.437
381,2024.053
382,2025.576
383,2026.832
384,2029.950
385,2027.900
386,2024.937
387,2028.198
388,2029.039
389,2027.847
390,2029.298
391,2031.523
392,2031.757
393,2032.331
394,2031.111
395,2031.622
396,2029.506
397,2030.540
398,2035.449
399,2033.063
400,2029.861
401,2034.484
402,2037.006
403,2033.054
404,2033.709
405,2033.643
406,2031.166
407,2030.661
408,2031.237
409,2035.913
410,2035.646
411,2036.763
412,2035.979
413,2035.823
414,2034.271
415,2036.640
416,2031.150
417,2030.622
418,2032.560
419,2030.372
420,2033.576
421,2029.938
422,2033.941
423,2029.728
424,2032.691
425,2030.657
426,2030.483
427,2031.550
428,2033.153
429,2029.842
430,2028.362
431,2031.704
432,2031.847
433,2029.479
434,2031.247
435,2030.177
436,2030.747
437,2027.347
438,2029.069
439,2027.593
440,2024.332
441,2030.911
442,2030.746
443,2027.240
444,2027.677
445,2027.157
446,2028.733
447,2024.321
448,2024.498
449,2024.272
450,2023.526
451,2022.761
452,2021.937
453,2018.579
454,2021.489
455,2026.562
456,2021.011
457,2018.321
458,2020.097
459,2013.830
460,2018.579
461,2016.000
462,2018.178
463,2016.457
464,2013.964
465,2015.090
466,2018.986
467,2011.624
468,2010.356
469,2010.231
470,2007.598
471,2006.283
472,2013.918
473,2004.152
474,2003.764
475,2004.937
476,2003.811
477,2003.763
478,1999.328
479,1999.470
480,2000.589
481,2002.787
482,1999.344
483,2000.730
484,1994.686
485,1996.556
486,1997.047
487,1994.640
488,1997.809
489,1995.423
490,1994.368
491,1991.028
492,1991.946
493,1990.689
494,1991.140
495,1988.286
496,1988.006
497,1987.326
498,1985.727
499,1987.767
500,1985.322
501,1982.818
502,1981.578
503,1983.244
504,1982.311
505,1984.721
506,1979.994
507,1983.479
508,1977.741
509,1983.906
510,1981.322
511,1981.066
512,1976.871
513,1980.468
514,1978.073
515,1978.352
516,1977.378
517,1980.593
518,1979.618
519,1978.731
520,1978.013
521,1981.201
522,1978.149
523,1973.813
524,1978.896
525,1979.839
526,1977.000
527,1978.532
528,1974.911
529,1979.730
530,1971.547
531,1975.031
532,1982.620
533,1982.307
534,1982.081
535,1984.312
536,1979.220
537,1985.306
538,1988.113
539,1983.659
540,1985.621
541,1985.173
542,1986.202
543,1991.302
544,1988.892
545,1994.547
546,1995.134
547,1998.967
548,1999.103
549,2001.537
550,2001.096
551,2001.880
552,2004.671
553,2008.587
554,2009.123
555,2007.147
556,2007.533
557,2009.763
558,2009.031
559,2013.573
560,2008.603
561,2010.036
562,2014.469
563,2015.598
564,2014.882
565,2009.760
566,2016.099
567,2015.281
568,2016.903
569,2016.249
570,2016.319
571,2014.316
572,2011.236
573,2014.311
574,2017.750
575,2013.733
576,2015.851
577,2010.509
578,2013.409
579,2009.574
580,2018.194
581,2014.203
582,2014.077
583,2018.090
584,2011.407
585,2011.558
586,2015.476
587,2013.421
588,2010.548
589,2014.483
590,2013.101
591,2014.507
592,2013.501
593,2014.692
594,2014.427
595,2012.357
596,2012.916
597,2010.567
598,2014.967
599,2013.920
600,2014.004
601,2016.217
602,2017.268
603,2014.583
604,2015.581
605,2017.832
606,2017.670
607,2019.484
608,2021.266
609,2018.979
610,2016.514
611,2021.111
612,2018.803
613,2018.060
614,2019.949
615,2014.732
616,2019.171
617,2017.374
618,2021.277
619,2013.733
620,2015.648
621,2018.319
622,2010.632
623,2013.453
624,2013.978
625,2014.671
626,2012.368
627,2011.197
628,2014.276
629,2013.208
630,2010.230
631,2007.186
632,2006.739
633,2011.290
634,2011.456
635,2009.722
636,2006.628
637,2008.720
638,2007.287
639,2004.188
640,2008.115
641,2005.109
642,2004.272
643,1999.331
644,2002.627
645,2001.456
646,2001.996
647,2001.888
648,1998.911
649,2006.053
650,1999.026
651,2000.512
652,2003.191
653,2001.378
654,2001.707
655,2003.212
656,1998.288
657,2000.768
658,2002.408
659,2001.397
660,2000.352
661,2001.283
662,2000.978
663,2003.052
664,2004.007
665,2005.891
666,2001.048
667,2003.279
668,2001.288
669,2004.107
670,1999.721
671,2001.996
672,2005.176
673,1999.997
674,2006.162
675,2002.763
676,2007.219
677,2002.986
678,2004.984
679,2004.227
680,2007.292
681,2005.912
682,2006.583
683,2006.760
684,2005.216
685,2009.782
686,2004.406
687,2009.170
688,2011.687
689,2009.750
690,2005.950
691,2005.917
692,2011.070
693,2011.567
694,2010.982
695,2013.493
696,2008.094
697,2010.194
698,2010.538
699,2010.073
700,2012.143
701,2011.254
702,2010.865
703,2008.746
704,2008.747
705,2008.818
706,2013.536
707,2008.166
708,2008.862
709,2012.352
710,2010.444
711,2009.194
712,2008.360
