X,Y
1,3481.301
2,3482.252
3,3477.367
4,3483.797
5,3479.093
6,3479.610
7,3481.172
8,3476.979
9,3483.660
10,3488.872
11,3484.372
12,3488.652
13,3488.102
14,3486.940
15,3488.557
16,3497.083
17,3499.923
18,3502.438
19,3506.887
20,3501.473
21,3503.168
22,3506.074
23,3514.702
24,3509.389
25,3516.678
26,3519.618
27,3519.049
28,3522.853
29,3521.574
30,3522.230
31,3522.192
32,3521.353
33,3530.738
34,3523.252
35,3522.071
36,3524.850
37,3531.727
38,3520.277
39,3525.323
40,3522.046
41,3525.678
42,3521.217
43,3520.887
44,3526.756
45,3524.325
46,3525.187
47,3523.070
48,3525.621
49,3522.299
50,3525.024
51,3522.526
52,3522.067
53,3515.547
54,3525.613
55,3519.523
56,3523.236
57,3522.236
58,3518.663
59,3517.706
60,3517.642
61,3522.553
62,3521.837
63,3517.381
64,3515.206
65,3520.635
66,3516.017
67,3518.673
68,3518.810
69,3522.721
70,3519.189
71,3519.220
72,3518.794
73,3516.688
74,3517.193
75,3517.484
76,3511.300
77,3511.196
78,3511.109
79,3512.434
80,3510.468
81,3510.439
82,3509.620
83,3515.142
84,3510.696
85,3503.952
86,3493.323
87,3499.930
88,3484.133
89,3460.800
90,3439.230
91,3418.537
92,3408.102
93,3395.657
94,3389.577
95,3391.248
96,3389.350
97,3381.552
98,3384.610
99,3388.353
100,3386.920
101,3387.509
102,3386.227
103,3388.597
104,3385.135
105,3390.406
106,3389.538
107,3389.929
108,3394.572
109,3392.899
110,3397.261
111,3396.558
112,3395.779
113,3395.039
114,3400.762
115,3395.281
116,3403.172
117,3397.956
118,3397.968
119,3400.682
120,3397.431
121,3398.913
122,3394.870
123,3397.131
124,3397.562
125,3397.034
126,3395.332
127,3404.034
128,3399.989
129,3398.999
130,3398.471
131,3402.659
132,3397.912
133,3404.307
134,3409.895
135,3404.628
136,3406.042
137,3407.166
138,3410.228
139,3403.720
140,3408.032
141,3404.760
142,3412.700
143,3410.643
144,3411.345
145,3414.306
146,3416.942
147,3414.529
148,3416.107
149,3420.532
150,3422.082
151,3422.440
152,3425.179
153,3424.810
154,3425.085
155,3428.293
156,3439.069
157,3445.767
158,3436.306
159,3444.662
160,3447.907
161,3454.161
162,3447.439
163,3455.390
164,3456.502
165,3461.550
166,3462.254
167,3465.627
168,3463.858
169,3465.854
170,3473.280
171,3471.540
172,3468.916
173,3478.335
174,3469.629
175,3474.007
176,3478.044
