X,Y
799,418
800,414
801,434
802,438
803,418
804,426
805,438
806,419
807,452
808,434
809,434
810,418
811,425
812,423
813,415
814,442
815,425
816,438
817,439
818,415
819,429
820,426
821,417
822,407
823,433
824,417
825,423
826,415
827,404
828,421
829,417
830,407
831,422
832,412
833,428
834,402
835,389
836,420
837,412
838,407
839,397
840,401
841,416
842,401
843,393
844,423
845,420
846,402
847,400
848,397
849,390
850,389
851,395
852,408
853,388
854,394
855,391
856,385
857,410
858,399
859,384
860,373
861,380
862,377
863,395
864,388
865,375
866,386
867,384
868,400
869,391
870,389
871,389
872,397
873,387
874,382
875,393
876,394
877,383
878,392
879,385
880,385
881,385
882,386
883,387
884,381
885,382
886,383
887,391
888,380
889,376
890,386
891,372
892,410
893,414
894,413
895,412
896,416
897,404
898,430
899,417
900,426
901,444
902,432
903,424
904,433
905,443
906,437
907,436
908,444
909,437
910,439
911,432
912,443
913,432
914,426
915,430
916,439
917,425
918,426
919,425
920,421
921,432
922,441
923,413
924,424
925,427
926,430
927,440
928,427
929,434
930,419
931,425
932,415
933,446
934,430
935,410
936,430
937,441
938,413
939,421
940,423
941,416
942,423
943,440
944,406
945,430
946,395
947,426
948,415
949,403
950,419
951,421
952,415
953,407
954,398
955,404
956,425
957,414
958,415
959,399
960,409
961,404
962,388
963,401
964,398
965,392
966,424
967,403
968,390
969,395
970,391
971,392
972,382
973,401
974,399
975,380
976,398
977,409
978,390
979,384
980,389
981,386
982,394
983,399
984,408
985,400
986,386
987,408
988,380
989,390
990,397
991,385
992,374
993,381
994,394
995,399
996,381
997,373
998,385
999,390
1000,378
1001,392
1002,381
1003,374
1004,385
1005,401
1006,378
1007,390
1008,395
1009,381
1010,389
1011,376
1012,393
1013,397
1014,404
1015,412
1016,407
1017,412
1018,431
1019,433
1020,440
1021,441
1022,441
1023,428
1024,427
