X,Y
640,1815
641,1958
642,1927
643,1927
644,1933
645,2003
646,1920
647,1991
648,1960
649,1850
650,1976
651,1840
652,1887
653,1794
654,1895
655,1887
656,1844
657,1834
658,1922
659,1770
660,1918
661,1814
662,1934
663,1885
664,1901
665,1999
666,1829
667,1855
668,1846
669,1843
670,1832
671,1872
672,1892
673,1850
674,1856
675,1781
676,1990
677,1948
678,1892
679,1821
680,1860
681,1796
682,1942
683,1827
684,1853
685,1767
686,1789
687,1905
688,1953
689,1909
690,1839
691,1832
692,1947
693,1939
694,1921
695,1845
696,1935
697,1952
698,2016
699,1845
700,1946
701,1955
702,1945
703,2034
704,1874
705,1976
706,2025
707,1897
708,1924
709,1965
710,1916
711,1932
712,1955
713,1921
714,1916
715,1926
716,1935
717,1972
718,1892
719,1942
720,1926
721,1899
722,1923
723,1939
724,1972
725,1954
726,1965
727,2004
728,1864
729,1994
730,1811
731,2114
732,1867
733,1936
734,1874
735,2015
736,1989
737,1923
738,1982
739,2012
740,1965
741,1809
742,1993
743,1877
744,1935
745,1989
746,2053
747,1887
748,1874
749,1965
750,2012
751,1955
752,1957
753,1896
754,1970
755,2011
756,1990
757,2034
758,1927
759,1919
760,1954
761,1904
762,2065
763,1875
764,1908
765,1882
766,1757
767,1882
768,1916
769,2000
770,1923
771,1842
772,1944
773,1879
774,1920
775,1952
776,1923
777,1785
778,1927
779,1815
780,1964
781,1925
782,1965
783,1841
784,1910
785,1908
786,1874
787,1950
788,1945
789,1887
790,1930
791,1773
792,1875
793,1849
794,1811
795,1942
796,1831
797,2000
798,1923
799,1835
800,1781
801,1970
802,1857
803,1812
804,1936
805,1895
806,1913
807,1832
808,1957
809,1910
810,2003
811,1807
812,1913
813,1943
814,1903
815,1850
816,1868
817,1882
818,1911
819,1838
820,1854
821,1895
822,1819
823,2046
824,1891
825,1952
826,1906
827,2010
828,1820
829,1980
830,1951
831,1892
832,1903
833,1883
834,1790
835,1923
836,1910
837,1886
838,2075
839,1868
840,1820
841,1988
842,1888
843,1950
844,1994
845,1947
846,1887
847,1791
848,1914
849,2004
850,1881
851,1904
852,1963
853,1938
854,1979
855,2033
856,1940
857,1913
858,2010
859,1923
860,1883
861,1828
862,1982
863,1967
864,1840
865,1930
866,1877
867,1969
868,1934
869,2035
870,1947
871,2038
872,1955
873,1867
874,1887
875,2005
876,1919
877,1912
878,1991
879,1982
880,2105
881,1975
882,1907
883,1913
884,1933
885,1894
886,1879
887,1861
888,2036
889,1916
890,1914
891,1865
892,1893
893,1801
894,1909
895,1881
896,2007
897,1902
898,1863
899,1853
900,1840
901,1795
902,1887
903,1862
904,1876
905,1918
906,1829
907,1832
908,1949
909,1868
910,1953
911,1935
912,1867
913,1883
914,1885
915,1857
916,1907
917,1909
918,1818
919,1927
920,1957
921,1911
922,1874
923,1840
924,1853
925,1818
926,1974
927,1862
928,1886
929,1871
930,1871
931,1867
932,1866
933,1944
934,1853
935,1960
936,1858
937,1838
938,1866
939,1985
940,1871
941,1887
942,1972
943,1898
944,1857
945,1889
946,1931
947,1937
948,2018
949,1894
950,2001
951,1833
952,1842
953,1871
954,1948
955,1942
956,1955
957,1847
958,1852
959,1852
960,1912
961,1896
962,1989
963,1874
964,1946
965,1932
966,1878
967,1983
968,1861
969,1918
970,2022
971,1974
972,1976
973,1865
974,1924
975,1995
976,1952
977,1995
978,2009
979,1935
980,1924
981,1832
982,1933
983,1947
984,1977
985,1938
986,1922
987,1991
988,1969
989,1890
990,1948
991,1947
992,2013
993,1982
994,1951
995,1902
996,1824
997,1918
998,1870
999,1856
1000,1860
1001,1822
1002,1843
1003,1974
1004,1891
1005,1842
1006,2025
1007,1914
1008,1943
1009,1949
1010,2062
1011,1918
1012,1984
1013,1867
1014,1887
1015,1847
1016,1766
1017,1928
1018,1860
1019,1904
1020,1945
1021,1858
1022,1835
1023,1919
1024,1934
