X,Y
1,434.6211
2,431.7167
3,430.8867
4,429.0022
5,427.8978
6,427.2133
7,427.1989
8,426.7511
9,424.5356
10,426.1467
11,423.3422
12,421.9445
13,419.8667
14,419.2567
15,420.6489
16,417.7900
17,416.1144
18,415.0144
19,417.0622
20,414.9156
21,412.2644
22,412.0078
23,412.1156
24,409.7889
25,410.2633
26,409.3311
27,407.5889
28,406.7100
29,405.8445
30,405.0633
31,404.0255
32,404.5733
33,405.0345
34,404.6811
35,404.9467
36,403.1211
37,402.5378
38,402.0367
39,402.4344
40,402.8200
41,400.8711
42,402.1311
43,401.3755
44,400.2911
45,399.3233
46,401.2644
47,399.3333
48,399.7755
49,399.7022
50,399.4267
51,397.1122
52,399.8622
53,398.7956
54,398.9878
55,397.7400
56,398.8256
57,398.1378
58,396.7022
59,398.0555
60,396.9189
61,398.4756
62,395.8922
63,397.1378
64,395.4189
65,397.7333
66,395.5956
67,396.5122
68,396.9811
69,398.9433
70,394.6589
71,395.8856
72,396.6511
73,394.9145
74,394.9822
75,394.5167
76,395.6133
77,396.0045
78,394.4233
79,395.5478
80,394.6555
81,394.9145
82,395.5211
83,394.9756
84,396.4478
85,396.8511
86,398.0600
87,396.7111
88,399.6189
89,404.9489
90,411.7811
91,417.8544
92,426.2367
93,432.7033
94,434.6900
95,437.7933
96,439.7289
97,439.9589
98,441.7378
99,441.8178
100,442.7256
101,444.4311
102,441.9044
103,442.1633
104,445.0678
105,444.0855
106,443.9578
107,442.7233
108,444.3478
109,441.9522
110,439.7278
111,441.9600
112,442.7178
113,441.2533
114,442.8178
115,440.4400
116,440.8044
117,441.5667
118,440.2344
119,438.8789
120,438.9489
121,437.0045
122,438.6255
123,437.0933
124,434.9167
125,437.5945
126,435.8911
127,435.7389
128,434.5000
129,433.1989
130,430.7211
131,431.9711
132,431.9489
133,430.0122
134,430.8722
135,430.5767
136,430.3600
137,427.1011
138,427.4856
139,427.4033
140,426.6567
141,424.6289
142,425.4078
143,424.2011
144,424.7067
145,423.6311
146,422.5978
147,421.0945
148,422.9278
149,420.1322
150,419.9278
151,419.1189
152,418.0267
153,417.3967
154,416.9655
155,416.1722
156,415.4789
157,412.4633
158,412.7233
159,411.7978
160,410.0178
161,409.6722
162,408.6922
163,407.3867
164,407.7656
165,406.0722
166,404.6133
167,403.5122
168,403.9522
169,401.3300
170,402.8200
171,401.0878
172,401.5700
173,399.9389
174,401.2489
175,399.6800
176,398.2322
177,398.3211
178,398.8811
179,397.9389
180,397.6467
181,396.0189
182,397.8944
183,397.2367
184,395.4289
185,397.1211
186,395.5056
187,395.8111
188,395.1833
189,397.2944
190,392.6389
191,393.0822
192,393.9433
193,394.9256
194,394.5089
195,393.9211
196,393.3400
197,394.3145
198,393.8244
199,393.1833
200,393.7289
201,391.8611
202,391.8767
203,392.9011
204,391.6333
205,393.7144
206,391.7611
207,391.4222
208,392.9311
209,392.2100
210,392.0700
211,390.8011
212,391.3256
213,392.3989
214,391.3867
215,393.0178
216,392.7211
217,392.8011
218,391.7478
219,391.6000
220,391.7578
221,391.3278
222,392.8222
223,391.6411
224,391.6189
225,391.4044
226,393.1600
227,391.1245
228,392.2678
229,393.8067
230,397.1678
231,402.1600
232,408.2245
233,415.9011
234,423.8233
235,427.6889
236,432.9256
237,436.2278
238,436.6167
239,438.6278
240,438.8178
241,438.7067
242,440.3611
243,437.5144
244,440.9733
245,440.5833
246,438.8156
247,439.2789
248,440.6689
249,438.1433
250,440.3367
251,440.9244
252,439.2233
253,438.3544
254,437.9456
255,440.2578
256,438.2111
257,435.9633
258,437.6922
259,437.0389
260,435.4489
261,436.9878
262,436.1722
263,434.3844
264,433.8611
265,435.6400
266,434.0422
267,433.6867
268,432.4655
269,431.9867
270,431.6589
271,430.4767
272,430.8589
273,429.8189
274,429.8089
275,428.2356
276,428.9678
277,427.0667
278,426.1833
279,425.2933
280,424.9933
281,424.9655
282,424.1344
283,423.0011
284,422.0945
285,422.1178
286,420.4044
287,421.4800
288,419.4778
289,418.3522
290,418.6956
291,416.7533
292,417.3433
293,415.7722
294,413.0178
295,413.1456
296,414.4211
297,411.8789
298,410.7200
299,409.6645
300,410.2089
301,407.8267
302,406.9333
303,406.2167
304,404.8422
305,406.1289
306,404.4200
307,403.4067
308,400.7878
309,400.5156
310,400.2200
311,399.3467
312,398.6056
313,398.9411
314,397.1789
315,398.5367
316,396.5433
317,396.2567
318,396.5267
319,395.7856
320,395.6700
321,394.1844
322,396.6900
323,394.3745
324,394.4633
325,393.8600
326,394.6189
327,394.5789
328,395.9989
329,394.3311
330,392.6178
331,394.0444
332,392.1167
333,393.5622
334,392.1289
335,393.2711
336,392.0322
337,391.6533
338,392.4011
339,392.6344
340,391.2044
341,391.6811
342,391.2378
343,392.7767
344,390.2322
345,391.5733
346,390.9022
347,391.6922
348,389.8900
349,389.9944
350,391.5578
351,390.9222
352,390.1578
353,390.4433
354,390.2689
355,390.7845
356,390.2200
357,389.7922
358,390.2278
359,390.2245
360,390.2722
361,389.3033
362,391.1267
363,389.7100
364,389.7356
365,391.2322
366,389.7644
367,390.2267
368,390.1855
369,389.4722
370,391.2245
371,391.8478
372,395.8611
373,401.0178
374,408.4256
375,415.5089
376,421.7978
377,427.6800
378,431.5967
379,433.7367
380,436.4456
381,435.9156
382,436.0267
383,438.2133
384,437.3355
385,437.9922
386,437.7522
387,438.9300
388,439.0000
389,437.5645
390,438.3378
391,436.4844
392,437.4556
393,438.8711
394,437.1333
395,437.9133
396,437.4622
397,437.1044
398,436.2489
399,436.0589
400,434.9689
401,435.5811
402,434.6889
403,435.3289
404,434.2333
405,434.2078
406,433.7155
407,433.4400
408,429.9789
409,431.3978
410,429.9745
411,430.4267
412,430.2889
413,429.5656
414,427.9567
415,427.8589
416,426.6645
417,425.8500
418,425.2933
419,424.8511
420,423.4055
421,424.8044
422,422.4789
423,423.4167
424,422.4311
425,421.5389
426,421.3222
427,420.6756
428,419.3778
429,416.6833
430,418.0489
431,416.2822
432,415.8267
433,415.9689
434,414.3933
435,414.1645
436,412.4711
437,410.8678
438,411.1611
439,412.1245
440,409.6344
441,408.1133
442,407.9256
443,406.4300
444,406.4722
445,405.9067
446,404.4133
447,403.2722
448,403.1456
449,402.0789
450,402.1011
451,397.6967
452,398.0667
453,400.4033
454,398.2300
455,397.4355
456,396.1311
457,394.9055
458,394.7689
459,395.2545
460,396.8200
461,397.2845
462,395.8178
463,394.7533
464,394.0089
465,393.5756
466,394.0489
467,394.1033
468,393.4489
469,392.7644
470,392.6711
471,392.2400
472,390.6855
473,390.7778
474,391.6945
475,391.5033
476,392.3333
477,391.4233
478,390.3944
479,392.4389
480,391.2189
481,390.5578
482,389.9822
483,390.1578
484,390.3511
485,388.9767
486,390.9567
487,388.4600
488,388.1811
489,388.6789
490,387.1444
491,387.7455
492,388.4933
493,387.9733
494,387.9600
495,387.4800
496,387.4689
497,387.5656
498,387.6678
499,387.6289
500,388.1000
501,389.9978
502,388.1833
503,387.5011
504,388.5456
505,384.9678
506,388.4533
507,388.3600
508,388.4611
509,389.6900
510,387.8944
511,388.4355
512,389.2778
513,390.9100
514,395.3822
515,400.4533
516,408.0778
517,416.3689
518,421.5544
519,427.4233
520,429.6855
521,431.4433
522,432.9600
523,433.3844
524,436.1489
525,434.6178
526,435.7378
527,436.2922
528,436.0622
529,435.8433
530,437.5255
531,438.0411
532,437.3711
533,437.0633
534,435.0800
535,436.6756
536,433.3322
537,434.7511
538,434.6378
539,434.6656
540,434.0956
541,435.3456
542,434.7633
543,433.5933
