"Wavelength (nm)","298805 %T (Unpolarized)","298805 OD (Unpolarized)"
"480.00","7.27531E+01","0.13815"
"480.50","9.36515E+01","0.02849"
"481.00","9.83353E+01","0.00729"
"481.50","9.84096E+01","0.00696"
"482.00","9.84832E+01","0.00664"
"482.50","9.86842E+01","0.00575"
"483.00","9.86948E+01","0.00571"
"483.50","9.86389E+01","0.00595"
"484.00","9.86309E+01","0.00599"
"484.50","9.85318E+01","0.00642"
"485.00","9.85641E+01","0.00628"
"485.50","9.85753E+01","0.00623"
"486.00","9.87415E+01","0.00550"
"486.50","9.88634E+01","0.00496"
"487.00","9.88650E+01","0.00496"
"487.50","9.88348E+01","0.00509"
"488.00","9.88652E+01","0.00496"
"488.50","9.89249E+01","0.00469"
"489.00","9.89212E+01","0.00471"
"489.50","9.86914E+01","0.00572"
"490.00","9.85440E+01","0.00637"
"490.50","9.84776E+01","0.00666"
"491.00","9.86442E+01","0.00593"
"491.50","9.87707E+01","0.00537"
"492.00","9.88623E+01","0.00497"
"492.50","9.89051E+01","0.00478"
"493.00","9.87356E+01","0.00553"
"493.50","9.87592E+01","0.00542"
"494.00","9.88905E+01","0.00485"
"494.50","9.89128E+01","0.00475"
"495.00","9.88156E+01","0.00517"
"495.50","9.85546E+01","0.00632"
"496.00","9.84525E+01","0.00677"
"496.50","9.84290E+01","0.00688"
"497.00","9.85240E+01","0.00646"
"497.50","9.86451E+01","0.00592"
"498.00","9.86712E+01","0.00581"
"498.50","9.87100E+01","0.00564"
"499.00","9.84889E+01","0.00661"
"499.50","9.84380E+01","0.00684"
"500.00","9.84286E+01","0.00688"
"500.50","9.85315E+01","0.00642"
"501.00","9.86695E+01","0.00582"
"501.50","9.88025E+01","0.00523"
"502.00","9.87018E+01","0.00567"
"502.50","9.85982E+01","0.00613"
"503.00","9.84591E+01","0.00674"
"503.50","9.84912E+01","0.00660"
"504.00","9.85924E+01","0.00616"
"504.50","9.86864E+01","0.00574"
"505.00","9.86123E+01","0.00607"
"505.50","9.86299E+01","0.00599"
"506.00","9.84867E+01","0.00662"
"506.50","9.84763E+01","0.00667"
"507.00","9.84898E+01","0.00661"
"507.50","9.86285E+01","0.00600"
"508.00","9.86610E+01","0.00585"
"508.50","9.86148E+01","0.00606"
"509.00","9.85603E+01","0.00630"
"509.50","9.84041E+01","0.00699"
"510.00","9.82955E+01","0.00747"
"510.50","9.83447E+01","0.00725"
"511.00","9.83764E+01","0.00711"
"511.50","9.85111E+01","0.00651"
"512.00","9.85837E+01","0.00619"
"512.50","9.85233E+01","0.00646"
"513.00","9.84100E+01","0.00696"
"513.50","9.82893E+01","0.00749"
"514.00","9.81657E+01","0.00804"
"514.50","9.82140E+01","0.00783"
"515.00","9.82987E+01","0.00745"
"515.50","9.82831E+01","0.00752"
"516.00","9.83835E+01","0.00708"
"516.50","9.83528E+01","0.00721"
"517.00","9.83914E+01","0.00704"
"517.50","9.82900E+01","0.00749"
"518.00","9.83099E+01","0.00740"
"518.50","9.83202E+01","0.00736"
"519.00","9.83239E+01","0.00734"
"519.50","9.83280E+01","0.00732"
"520.00","9.83068E+01","0.00742"
"520.50","9.82532E+01","0.00765"
"521.00","9.82211E+01","0.00780"
"521.50","9.82060E+01","0.00786"
"522.00","9.82344E+01","0.00774"
"522.50","9.82378E+01","0.00772"
"523.00","9.83060E+01","0.00742"
"523.50","9.83115E+01","0.00740"
"524.00","9.82719E+01","0.00757"
"524.50","9.82538E+01","0.00765"
"525.00","9.82524E+01","0.00766"
"525.50","9.81860E+01","0.00795"
"526.00","9.82047E+01","0.00787"
"526.50","9.81831E+01","0.00796"
"527.00","9.82098E+01","0.00785"
"527.50","9.81586E+01","0.00807"
"528.00","9.81302E+01","0.00820"
"528.50","9.80640E+01","0.00849"
"529.00","9.80288E+01","0.00865"
"529.50","9.79369E+01","0.00905"
"530.00","9.80453E+01","0.00857"
"530.50","9.80068E+01","0.00874"
"531.00","9.79558E+01","0.00897"
"531.50","9.77882E+01","0.00971"
"532.00","9.77283E+01","0.00998"
"532.50","9.76615E+01","0.01028"
"533.00","9.77374E+01","0.00994"
"533.50","9.76909E+01","0.01015"
"534.00","9.75634E+01","0.01071"
"534.50","9.75184E+01","0.01091"
"535.00","9.75199E+01","0.01091"
"535.50","9.74902E+01","0.01104"
"536.00","9.68906E+01","0.01372"
"536.50","9.54109E+01","0.02040"
"537.00","9.39949E+01","0.02690"
"537.50","9.39195E+01","0.02724"
"538.00","9.50346E+01","0.02212"
"538.50","9.40478E+01","0.02665"
"539.00","8.20202E+01","0.08608"
"539.50","5.30041E+01","0.27569"
"540.00","2.08428E+01","0.68104"
"540.50","4.33157E+00","1.36335"
"541.00","7.54967E-01","2.12207"
"541.50","1.41783E-01","2.84838"
"542.00","3.37108E-02","3.47223"
"542.50","9.49377E-03","4.02256"
"543.00","3.02243E-03","4.51964"
"543.50","1.01703E-03","4.99267"
"544.00","4.07529E-04","5.38984"
"544.50","2.12132E-04","5.67339"
"545.00","9.72522E-05","6.01210"
"545.50","4.43192E-05","6.35341"
"546.00","2.34504E-05","6.62985"
"546.50","-3.96220E-07","37.00000"
"547.00","1.72522E-05","6.76316"
"547.50","7.93052E-06","7.10070"
"548.00","2.73513E-05","6.56302"
"548.50","7.98904E-06","7.09751"
"549.00","9.94009E-06","7.00261"
"549.50","2.74102E-05","6.56209"
"550.00","-1.60364E-05","37.00000"
"550.50","-9.75698E-06","37.00000"
"551.00","-9.48231E-07","37.00000"
"551.50","3.70672E-06","7.43101"
"552.00","8.57531E-06","7.06675"
"552.50","1.13022E-06","7.94684"
"553.00","8.65225E-06","7.06287"
"553.50","-2.31160E-06","37.00000"
"554.00","-1.70952E-05","37.00000"
"554.50","-4.57230E-06","37.00000"
"555.00","1.93996E-05","6.71221"
"555.50","-7.37675E-06","37.00000"
"556.00","-1.17156E-07","37.00000"
"556.50","-1.13982E-05","37.00000"
"557.00","-1.18208E-05","37.00000"
"557.50","3.26542E-06","7.48606"
"558.00","7.60104E-06","7.11913"
"558.50","1.70740E-06","7.76766"
"559.00","-5.32498E-06","37.00000"
"559.50","-4.44127E-06","37.00000"
"560.00","-2.70671E-06","37.00000"
"560.50","-4.95682E-07","37.00000"
"561.00","-2.35280E-05","37.00000"
"561.50","7.11524E-06","7.14781"
"562.00","1.01005E-05","6.99566"
"562.50","-2.01735E-06","37.00000"
"563.00","1.20847E-05","6.91776"
"563.50","-5.10483E-06","37.00000"
"564.00","4.28230E-06","7.36832"
"564.50","1.28382E-06","7.89150"
"565.00","1.52276E-05","6.81737"
"565.50","-3.36455E-06","37.00000"
"566.00","1.38483E-05","6.85860"
"566.50","4.48659E-09","10.34808"
"567.00","6.81506E-06","7.16653"
"567.50","-6.10489E-06","37.00000"
"568.00","-4.63788E-06","37.00000"
"568.50","5.46355E-06","7.26253"
"569.00","4.00728E-05","6.39715"
"569.50","2.69141E-06","7.57002"
"570.00","1.90611E-05","6.71985"
"570.50","7.71088E-06","7.11290"
"571.00","2.79435E-05","6.55372"
"571.50","-1.30869E-06","37.00000"
"572.00","2.23702E-06","7.65033"
"572.50","1.86674E-06","7.72892"
"573.00","4.26774E-06","7.36980"
"573.50","2.56051E-07","8.59167"
"574.00","6.47488E-06","7.18877"
"574.50","-1.58997E-06","37.00000"
"575.00","2.14203E-05","6.66917"
"575.50","5.15903E-05","6.28743"
"576.00","4.78008E-05","6.32056"
"576.50","8.32625E-05","6.07955"
"577.00","2.57048E-05","6.58999"
"577.50","4.58289E-05","6.33886"
"578.00","2.91302E-05","6.53566"
"578.50","2.06678E-05","6.68471"
"579.00","2.85007E-05","6.54514"
"579.50","9.48550E-06","7.02294"
"580.00","3.73495E-05","6.42772"
"580.50","-2.29066E-07","37.00000"
"581.00","2.06252E-05","6.68560"
"581.50","-2.91734E-06","37.00000"
"582.00","1.73040E-05","6.76185"
"582.50","2.41022E-05","6.61794"
"583.00","1.41326E-05","6.84978"
"583.50","4.11836E-05","6.38528"
"584.00","3.62078E-05","6.44120"
"584.50","2.15992E-05","6.66556"
"585.00","2.90189E-05","6.53732"
"585.50","5.43274E-05","6.26498"
"586.00","4.89266E-05","6.31045"
"586.50","4.50384E-05","6.34642"
"587.00","7.57688E-05","6.12051"
"587.50","6.43457E-05","6.19148"
"588.00","5.81126E-05","6.23573"
"588.50","8.80536E-05","6.05525"
"589.00","8.37656E-05","6.07693"
"589.50","9.94032E-05","6.00260"
"590.00","1.23552E-04","5.90815"
"590.50","9.99230E-05","6.00033"
"591.00","9.60309E-05","6.01759"
"591.50","1.11969E-04","5.95090"
"592.00","7.82613E-05","6.10645"
"592.50","8.09789E-05","6.09163"
"593.00","7.63183E-05","6.11737"
"593.50","8.60660E-05","6.06517"
"594.00","7.22731E-05","6.14102"
